GridID,TimeInterval,DataCount
1.0,2012-11-01 13:40:00-2012-11-01 14:00:00,1
1.0,2012-11-01 16:40:00-2012-11-01 17:00:00,1
10.0,2012-11-01 01:20:00-2012-11-01 01:40:00,1
10.0,2012-11-01 08:40:00-2012-11-01 09:00:00,1
10.0,2012-11-01 09:00:00-2012-11-01 09:20:00,1
10.0,2012-11-01 09:20:00-2012-11-01 09:40:00,1
10.0,2012-11-01 09:40:00-2012-11-01 10:00:00,1
10.0,2012-11-01 10:00:00-2012-11-01 10:20:00,4
10.0,2012-11-01 10:40:00-2012-11-01 11:00:00,1
10.0,2012-11-01 11:00:00-2012-11-01 11:20:00,4
10.0,2012-11-01 12:40:00-2012-11-01 13:00:00,3
10.0,2012-11-01 13:20:00-2012-11-01 13:40:00,3
10.0,2012-11-01 13:40:00-2012-11-01 14:00:00,3
10.0,2012-11-01 14:20:00-2012-11-01 14:40:00,3
10.0,2012-11-01 15:00:00-2012-11-01 15:20:00,1
10.0,2012-11-01 15:20:00-2012-11-01 15:40:00,2
10.0,2012-11-01 15:40:00-2012-11-01 16:00:00,1
10.0,2012-11-01 16:20:00-2012-11-01 16:40:00,1
10.0,2012-11-01 16:40:00-2012-11-01 17:00:00,2
10.0,2012-11-01 17:00:00-2012-11-01 17:20:00,2
10.0,2012-11-01 18:00:00-2012-11-01 18:20:00,1
10.0,2012-11-01 19:20:00-2012-11-01 19:40:00,1
10.0,2012-11-01 19:40:00-2012-11-01 20:00:00,1
10.0,2012-11-01 20:20:00-2012-11-01 20:40:00,1
10.0,2012-11-01 20:40:00-2012-11-01 21:00:00,1
10.0,2012-11-01 21:00:00-2012-11-01 21:20:00,1
10.0,2012-11-01 22:00:00-2012-11-01 22:20:00,1
100.0,2012-11-01 05:20:00-2012-11-01 05:40:00,1
100.0,2012-11-01 06:40:00-2012-11-01 07:00:00,1
100.0,2012-11-01 07:20:00-2012-11-01 07:40:00,2
100.0,2012-11-01 07:40:00-2012-11-01 08:00:00,2
100.0,2012-11-01 08:00:00-2012-11-01 08:20:00,3
100.0,2012-11-01 08:20:00-2012-11-01 08:40:00,1
100.0,2012-11-01 08:40:00-2012-11-01 09:00:00,1
100.0,2012-11-01 09:00:00-2012-11-01 09:20:00,2
100.0,2012-11-01 09:20:00-2012-11-01 09:40:00,1
100.0,2012-11-01 09:40:00-2012-11-01 10:00:00,1
100.0,2012-11-01 10:00:00-2012-11-01 10:20:00,3
100.0,2012-11-01 11:20:00-2012-11-01 11:40:00,1
100.0,2012-11-01 11:40:00-2012-11-01 12:00:00,2
100.0,2012-11-01 13:20:00-2012-11-01 13:40:00,2
100.0,2012-11-01 13:40:00-2012-11-01 14:00:00,2
100.0,2012-11-01 14:00:00-2012-11-01 14:20:00,2
100.0,2012-11-01 14:20:00-2012-11-01 14:40:00,1
100.0,2012-11-01 15:00:00-2012-11-01 15:20:00,2
