index,GridID,TimeInterval,DataCount
6244,98.0,2012-11-01 00:00:00-2012-11-01 00:20:00,5
2192,42.0,2012-11-01 00:00:00-2012-11-01 00:20:00,7
4793,77.0,2012-11-01 00:00:00-2012-11-01 00:20:00,13
3920,65.0,2012-11-01 00:00:00-2012-11-01 00:20:00,5
1881,38.0,2012-11-01 00:00:00-2012-11-01 00:20:00,7
3993,66.0,2012-11-01 00:00:00-2012-11-01 00:20:00,20
4211,69.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
2623,48.0,2012-11-01 00:00:00-2012-11-01 00:20:00,16
113,12.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
4502,73.0,2012-11-01 00:00:00-2012-11-01 00:20:00,13
2263,43.0,2012-11-01 00:00:00-2012-11-01 00:20:00,13
4720,76.0,2012-11-01 00:00:00-2012-11-01 00:20:00,9
4139,68.0,2012-11-01 00:00:00-2012-11-01 00:20:00,17
5568,88.0,2012-11-01 00:00:00-2012-11-01 00:20:00,6
1449,32.0,2012-11-01 00:00:00-2012-11-01 00:20:00,1
1103,27.0,2012-11-01 00:00:00-2012-11-01 00:20:00,6
3451,59.0,2012-11-01 00:00:00-2012-11-01 00:20:00,1
6106,96.0,2012-11-01 00:00:00-2012-11-01 00:20:00,4
3013,53.0,2012-11-01 00:00:00-2012-11-01 00:20:00,6
959,25.0,2012-11-01 00:00:00-2012-11-01 00:20:00,3
1666,35.0,2012-11-01 00:00:00-2012-11-01 00:20:00,6
313,15.0,2012-11-01 00:00:00-2012-11-01 00:20:00,1
4282,7.0,2012-11-01 00:00:00-2012-11-01 00:20:00,1
5831,92.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
2551,47.0,2012-11-01 00:00:00-2012-11-01 00:20:00,7
3158,55.0,2012-11-01 00:00:00-2012-11-01 00:20:00,4
1382,31.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
249,14.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
4648,75.0,2012-11-01 00:00:00-2012-11-01 00:20:00,8
2070,40.0,2012-11-01 00:00:00-2012-11-01 00:20:00,1
5206,83.0,2012-11-01 00:00:00-2012-11-01 00:20:00,7
3087,54.0,2012-11-01 00:00:00-2012-11-01 00:20:00,3
3846,64.0,2012-11-01 00:00:00-2012-11-01 00:20:00,10
2121,41.0,2012-11-01 00:00:00-2012-11-01 00:20:00,1
6036,95.0,2012-11-01 00:00:00-2012-11-01 00:20:00,3
3304,57.0,2012-11-01 00:00:00-2012-11-01 00:20:00,12
1175,28.0,2012-11-01 00:00:00-2012-11-01 00:20:00,3
5424,86.0,2012-11-01 00:00:00-2012-11-01 00:20:00,5
5639,89.0,2012-11-01 00:00:00-2012-11-01 00:20:00,3
889,24.0,2012-11-01 00:00:00-2012-11-01 00:20:00,3
1809,37.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
2695,49.0,2012-11-01 00:00:00-2012-11-01 00:20:00,5
751,22.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
4866,78.0,2012-11-01 00:00:00-2012-11-01 00:20:00,4
4575,74.0,2012-11-01 00:00:00-2012-11-01 00:20:00,6
385,16.0,2012-11-01 00:00:00-2012-11-01 00:20:00,1
3775,63.0,2012-11-01 00:00:00-2012-11-01 00:20:00,5
5279,84.0,2012-11-01 00:00:00-2012-11-01 00:20:00,14
1519,33.0,2012-11-01 00:00:00-2012-11-01 00:20:00,7
5964,94.0,2012-11-01 00:00:00-2012-11-01 00:20:00,3
3377,58.0,2012-11-01 00:00:00-2012-11-01 00:20:00,16
3231,56.0,2012-11-01 00:00:00-2012-11-01 00:20:00,6
1031,26.0,2012-11-01 00:00:00-2012-11-01 00:20:00,8
4066,67.0,2012-11-01 00:00:00-2012-11-01 00:20:00,13
2941,52.0,2012-11-01 00:00:00-2012-11-01 00:20:00,5
5496,87.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
2478,46.0,2012-11-01 00:00:00-2012-11-01 00:20:00,8
818,23.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
1953,39.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
1244,29.0,2012-11-01 00:00:00-2012-11-01 00:20:00,4
2405,45.0,2012-11-01 00:00:00-2012-11-01 00:20:00,8
2335,44.0,2012-11-01 00:00:00-2012-11-01 00:20:00,6
1592,34.0,2012-11-01 00:00:00-2012-11-01 00:20:00,9
5894,93.0,2012-11-01 00:00:00-2012-11-01 00:20:00,1
5351,85.0,2012-11-01 00:00:00-2012-11-01 00:20:00,13
4430,72.0,2012-11-01 00:00:00-2012-11-01 00:20:00,8
2122,41.0,2012-11-01 00:20:00-2012-11-01 00:40:00,8
2479,46.0,2012-11-01 00:20:00-2012-11-01 00:40:00,39
3305,57.0,2012-11-01 00:20:00-2012-11-01 00:40:00,82
3159,55.0,2012-11-01 00:20:00-2012-11-01 00:40:00,28
250,14.0,2012-11-01 00:20:00-2012-11-01 00:40:00,3
5280,84.0,2012-11-01 00:20:00-2012-11-01 00:40:00,41
2942,52.0,2012-11-01 00:20:00-2012-11-01 00:40:00,27
2809,50.0,2012-11-01 00:20:00-2012-11-01 00:40:00,4
2193,42.0,2012-11-01 00:20:00-2012-11-01 00:40:00,22
3707,62.0,2012-11-01 00:20:00-2012-11-01 00:40:00,15
1245,29.0,2012-11-01 00:20:00-2012-11-01 00:40:00,22
3584,60.0,2012-11-01 00:20:00-2012-11-01 00:40:00,11
2014,4.0,2012-11-01 00:20:00-2012-11-01 00:40:00,3
3921,65.0,2012-11-01 00:20:00-2012-11-01 00:40:00,28
6178,97.0,2012-11-01 00:20:00-2012-11-01 00:40:00,5
